,Kingdom,Phylum,Class,Order,Family,Genus
ASV0828,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,vadinBE97,NA
ASV0829,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium
ASV0830,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister
ASV0831,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA
ASV0832,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella
ASV0833,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Sutterella
ASV0834,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriales_Incertae_Sedis,NA
ASV0835,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera
ASV0836,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio
ASV0837,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV0838,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
ASV0839,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoanaerobaculum
ASV0840,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1
ASV0841,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV0842,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera
ASV0843,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella
ASV0844,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera
ASV0845,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia
ASV0846,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Gordonibacter
ASV0847,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella
ASV0848,Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA
ASV0849,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter
ASV0850,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA
ASV0851,Bacteria,NA,NA,NA,NA,NA
ASV0852,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
ASV0853,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania
ASV0854,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
ASV0855,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
ASV0856,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_9
ASV0857,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus
ASV0858,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV0859,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
ASV0860,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
ASV0861,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Family_XIII_AD3011_group
ASV0862,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV0863,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella
ASV0864,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,NA
ASV0865,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7
ASV0866,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_NK3B31_group
ASV0867,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV0868,Bacteria,Actinobacteria,Actinobacteria,NA,NA,NA
ASV0869,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Peptoniphilus
ASV0870,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV0871,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV0872,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
ASV0873,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV0874,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV0875,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
ASV0876,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,NA
ASV0877,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Oribacterium
ASV0878,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV0879,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,NA
ASV0880,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Family_XIII_AD3011_group
ASV0881,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV0882,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV0883,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,NA,NA
ASV0884,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
ASV0885,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV0886,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium
ASV0887,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister
ASV0888,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
ASV0889,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV0890,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes
ASV0891,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter
ASV0892,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
ASV0893,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter
ASV0894,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,NA
ASV0895,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella
ASV0896,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA
ASV0897,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Sutterella
ASV0898,Bacteria,Tenericutes,Mollicutes,Mollicutes_RF39,NA,NA
ASV0899,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas
ASV0900,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV0901,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV0902,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV0903,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megamonas
ASV0904,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV0905,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV0906,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA
ASV0907,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_2
ASV0908,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV0909,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_2
ASV0910,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
ASV0911,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium
ASV0912,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV0913,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
ASV0914,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
ASV0915,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera
ASV0916,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-005
ASV0917,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella
ASV0918,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_NK4B4_group
ASV0919,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_2
ASV0920,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV0921,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Mitsuokella
ASV0922,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV0923,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas
ASV0924,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriales_Incertae_Sedis,NA
ASV0925,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella
ASV0926,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV0927,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,Neisseria
ASV0928,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Mitsuokella
ASV0929,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,NA,NA
ASV0930,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Mitsuokella
ASV0931,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
ASV0932,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
ASV0933,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV0934,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella
ASV0935,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV0936,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV0937,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas
ASV0938,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
ASV0939,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,NA,NA
ASV0940,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV0941,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera
ASV0942,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV0943,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV0944,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
ASV0945,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV0946,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium
ASV0947,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Ezakiella
ASV0948,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV0949,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV0950,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_6
ASV0951,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_NK4A214_group
ASV0952,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-014
ASV0953,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG-004
ASV0954,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Howardella
ASV0955,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Anaeroplasma
ASV0956,Bacteria,Tenericutes,Mollicutes,Mollicutes_RF39,NA,NA
ASV0957,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella
ASV0958,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group
ASV0959,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
ASV0960,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA
ASV0961,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV0962,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
ASV0963,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Asteroleplasma
ASV0964,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_2
ASV0965,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera
ASV0966,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella
ASV0967,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
ASV0968,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-003
ASV0969,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA
ASV0970,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira
ASV0971,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Libanicoccus
ASV0972,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_2
ASV0973,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG-001
ASV0974,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,NA
ASV0975,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
ASV0976,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV0977,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV0978,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Agathobacter
ASV0979,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_6
ASV0980,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Family_XIII_AD3011_group
ASV0981,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,NA,NA
ASV0982,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG-003
ASV0983,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_FCS020_group
ASV0984,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV0985,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus
ASV0986,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
ASV0987,Bacteria,Tenericutes,Mollicutes,Mollicutes_RF39,NA,NA
ASV0988,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella
ASV0989,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV0990,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG-001
ASV0991,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides
ASV0992,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV0993,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-010
ASV0994,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,NA
ASV0995,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA
ASV0996,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG-004
ASV0997,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV0998,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7
ASV0999,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-014
ASV1000,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV1001,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Fusicatenibacter
ASV1002,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera
ASV1003,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella
ASV1004,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
ASV1005,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV1006,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella_4
ASV1007,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV1008,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum
ASV1009,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Negativibacillus
ASV1010,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia
ASV1011,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV1012,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus
ASV1013,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella
ASV1014,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV1015,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV1016,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,NA
ASV1017,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV1018,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Family_XIII_AD3011_group
ASV1019,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV1020,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,NA
ASV1021,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-013
ASV1022,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-010
ASV1023,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
ASV1024,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
ASV1025,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus_1
ASV1026,Bacteria,Tenericutes,Mollicutes,Mollicutes_RF39,NA,NA
ASV1027,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-005
ASV1028,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV1029,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_2
ASV1030,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV1031,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_2
ASV1032,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV1033,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA
ASV1034,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella
ASV1035,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
ASV1036,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-014
ASV1037,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG-010
ASV1038,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-010
ASV1039,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Dolosigranulum
ASV1040,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV1041,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,NA,NA
ASV1042,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7
ASV1043,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV1044,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV1045,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
ASV1046,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira
ASV1047,Bacteria,Tenericutes,Mollicutes,Mollicutes_RF39,NA,NA
ASV1048,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Sutterella
ASV1049,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA
ASV1050,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,NA
ASV1051,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV1052,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
ASV1053,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera
ASV1054,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,NA
ASV1055,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV1056,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV1057,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_2
ASV1058,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_NK4A214_group
ASV1059,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,NA
ASV1060,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia
ASV1061,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister
ASV1062,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
ASV1063,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
ASV1064,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA
ASV1065,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella
ASV1066,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV1067,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
ASV1068,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV1069,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV1070,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella
ASV1071,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella
ASV1072,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
ASV1073,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV1074,Bacteria,NA,NA,NA,NA,NA
ASV1075,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_9
ASV1076,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella
ASV1077,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
ASV1078,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila
ASV1079,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas
ASV1080,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,NA
ASV1081,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV1082,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-014
ASV1083,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV1084,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium
ASV1085,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
ASV1086,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Mogibacterium
ASV1087,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
ASV1088,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
ASV1089,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV1090,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV1091,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV1092,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera
ASV1093,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ASV1094,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella_4
ASV1095,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,NA
ASV1096,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
